Wall time,Step,Value
1592232210.0232677,10001,-139.71694946289062
1592232230.1104314,20001,-97.12476348876953
1592232256.3298733,30001,-69.4886474609375
1592232290.0400794,40001,-68.02679443359375
1592232323.1804647,50001,-66.90375518798828
1592232356.3349552,60001,-66.65669250488281
1592232391.6921103,70001,-60.7789421081543
1592232432.2842996,80001,-51.63175582885742
1592232469.727805,90001,-46.604122161865234
1592232509.6464438,100001,-30.322919845581055
1592232548.4244583,110001,-8.526994705200195
1592232587.1559165,120001,-3.446239948272705
1592232618.9449835,130001,7.4707746505737305
1592232667.6541145,140001,19.9007511138916
1592232699.797087,150001,26.065574645996094
1592232736.2044308,160001,30.974817276000977
1592232769.8071787,170001,47.93445587158203
1592232798.6063087,180001,63.936641693115234
1592232829.9002354,190001,83.47850036621094
1592232860.1023734,200001,112.82080841064453
1592232892.1033196,210001,137.58277893066406
1592232927.9415438,220001,147.72592163085938
1592232955.2757611,230001,172.55662536621094
1592232981.8457046,240001,179.301025390625
1592233011.6941824,250001,194.0467529296875
1592233037.1804967,260001,222.96861267089844
1592233063.2408175,270001,236.89234924316406
1592233093.9772758,280001,250.88522338867188
1592233121.3648353,290001,254.0713348388672
1592233151.3970773,300001,248.26148986816406
1592233179.1653817,310001,234.7563018798828
1592233213.1421711,320001,214.68260192871094
1592233238.4872594,330001,193.05545043945312
1592233263.4307308,340001,182.22360229492188
1592233286.1001558,350001,162.01026916503906
1592233308.0365806,360001,140.39305114746094
1592233330.0628564,370001,151.4167938232422
1592233355.0024674,380001,147.4078826904297
1592233377.8928876,390001,146.94252014160156
1592233400.7837446,400001,157.7434539794922
1592233425.9660654,410001,163.2975311279297
1592233448.294851,420001,167.21505737304688
1592233470.2014332,430001,180.60214233398438
1592233493.2287936,440001,199.3848419189453
1592233516.2596686,450001,186.39137268066406
1592233541.3319952,460001,172.14645385742188
1592233566.5381327,470001,157.75059509277344
1592233588.6601062,480001,134.2860870361328
1592233610.0871363,490001,87.02338409423828
