Wall time,Step,Value
1592238276.0974574,10001,-154.30120849609375
1592238311.0685291,20001,-98.38154602050781
1592238357.5144596,30001,-73.36129760742188
1592238405.6666396,40001,-66.56548309326172
1592238454.7655234,50001,-66.76419830322266
1592238500.4875872,60001,-68.17179870605469
1592238548.9924433,70001,-64.6771011352539
1592238599.061497,80001,-59.7688102722168
1592238650.7192824,90001,-56.00977325439453
1592238699.6226575,100001,-53.76523971557617
1592238751.7490613,110001,-50.22145462036133
1592238802.941065,120001,-45.88841247558594
1592238855.2849815,130001,-40.89909362792969
1592238908.0780578,140001,-30.454072952270508
1592238972.3206558,150001,-18.778545379638672
1592239025.9548867,160001,-10.60457992553711
1592239076.6739337,170001,1.2473100423812866
1592239132.9506814,180001,10.696602821350098
1592239187.68509,190001,13.949540138244629
1592239239.6327806,200001,16.51215934753418
1592239291.128151,210001,20.215618133544922
1592239354.9026256,220001,23.445146560668945
1592239414.403855,230001,33.083045959472656
1592239479.0840247,240001,37.621761322021484
1592239540.9080482,250001,33.90206527709961
1592239604.2866669,260001,34.179412841796875
1592239666.0503879,270001,34.8397331237793
1592239721.3029432,280001,42.42938232421875
1592239778.3908734,290001,57.17182159423828
1592239821.8123343,300001,102.43515014648438
1592239864.640637,310001,150.9946746826172
1592239903.8686883,320001,222.83575439453125
1592239943.5959477,330001,250.24095153808594
1592239983.3732119,340001,258.5502624511719
1592240022.8043609,350001,270.03314208984375
1592240063.9906225,360001,262.9003601074219
1592240103.5157073,370001,266.1923522949219
1592240141.5461226,380001,255.14971923828125
1592240178.9890296,390001,260.8223876953125
1592240217.3875382,400001,260.4410705566406
1592240255.5171032,410001,253.2202606201172
1592240294.365399,420001,249.0132293701172
1592240336.534395,430001,249.62156677246094
1592240380.2541664,440001,244.11973571777344
1592240420.612211,450001,222.60211181640625
1592240463.8198025,460001,200.65780639648438
1592240504.340782,470001,147.13807678222656
1592240548.1493444,480001,107.70926666259766
1592240594.2157907,490001,94.62789154052734
