Wall time,Step,Value
1592234120.244401,10001,-158.1411590576172
1592234140.5500832,20001,-91.5616683959961
1592234167.9706502,30001,-70.22660064697266
1592234201.3691924,40001,-68.17570495605469
1592234233.300016,50001,-78.73773956298828
1592234266.5500875,60001,-82.3423843383789
1592234299.6634817,70001,-83.15772247314453
1592234332.0260823,80001,-80.90772247314453
1592234367.6274357,90001,-75.0291748046875
1592234399.8056269,100001,-71.94049072265625
1592234433.6761694,110001,-70.2369384765625
1592234468.8742578,120001,-65.39906311035156
1592234515.1479285,130001,-50.14556121826172
1592234555.76563,140001,-36.06957244873047
1592234591.0861847,150001,-25.547163009643555
1592234628.6204793,160001,-21.454971313476562
1592234665.9123561,170001,-22.684675216674805
1592234702.5695567,180001,-21.143049240112305
1592234738.4960215,190001,-18.513200759887695
1592234776.9287245,200001,-17.692672729492188
1592234806.0641022,210001,26.946582794189453
1592234837.0414224,220001,53.17273712158203
1592234864.1235116,230001,109.70977783203125
1592234894.947395,240001,156.0562286376953
1592234929.6431847,250001,192.6475830078125
1592234957.8116992,260001,191.98313903808594
1592234987.4823945,270001,207.8446044921875
1592235012.4485307,280001,220.48255920410156
1592235036.0615003,290001,242.5999298095703
1592235059.4676542,300001,253.29080200195312
1592235082.7232563,310001,249.5889434814453
1592235113.7419438,320001,229.63368225097656
1592235140.0302968,330001,220.56045532226562
1592235162.7635236,340001,184.530517578125
1592235184.8801894,350001,161.5606231689453
1592235207.605436,360001,156.14596557617188
1592235229.5798101,370001,136.34902954101562
1592235251.5177882,380001,119.0601806640625
1592235274.026908,390001,127.84666442871094
1592235295.348086,400001,108.6579360961914
1592235316.219848,410001,84.71875762939453
1592235336.9213908,420001,97.24227905273438
1592235358.6472769,430001,115.43202209472656
1592235380.3312852,440001,160.80587768554688
1592235402.1424706,450001,157.19801330566406
1592235425.3608005,460001,150.96011352539062
1592235448.0647938,470001,150.9196319580078
1592235469.5090766,480001,129.30255126953125
1592235492.9135551,490001,121.07412719726562
